                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.63214,                 1.3092,                 1.0873,                0.62354,                0.70935,                0.81811,                0.75399,                0.49572,                 5.2081,                0.87974,             0.00027987,             0.00027987,             0.00027987
                     50,                 0.4537,                0.95183,                 0.9477,                0.62354,                0.70935,                0.81811,                0.75399,                0.49572,                 5.2081,                0.87974,             0.00028031,             0.00028031,             0.00028031
                     51,                0.55725,                0.88513,                0.93927,                0.79986,                0.90923,                  0.995,                 0.8358,                0.56002,                 4.8151,                0.96511,             0.00028053,             0.00028053,             0.00028053
                     52,                0.74872,                 1.7484,                 1.2819,                0.79986,                0.90923,                  0.995,                 0.8358,                0.56002,                 4.8151,                0.96511,             0.00028053,             0.00028053,             0.00028053
                     53,                 0.4352,                0.89102,                0.92382,                0.79986,                0.90923,                  0.995,                 0.8358,                0.56002,                 4.8151,                0.96511,             0.00028031,             0.00028031,             0.00028031
                     54,                0.52262,                0.94204,                0.97269,                0.73644,                      1,                 0.8955,                0.72273,                0.66484,                 5.1076,                 1.0169,             0.00027987,             0.00027987,             0.00027987
                     55,                0.80273,                 1.4264,                 1.2384,                0.73644,                      1,                 0.8955,                0.72273,                0.66484,                 5.1076,                 1.0169,             0.00027921,             0.00027921,             0.00027921
                     56,                0.75276,                  1.139,                 1.2107,                0.73644,                      1,                 0.8955,                0.72273,                0.66484,                 5.1076,                 1.0169,             0.00027833,             0.00027833,             0.00027833
                     57,                 0.5385,                 1.0305,                 1.0008,                0.74697,                0.91653,                 0.8955,                0.71623,                0.46384,                 4.8615,                0.92719,             0.00027723,             0.00027723,             0.00027723
                     58,                0.39358,                0.69235,                0.86849,                0.74697,                0.91653,                 0.8955,                0.71623,                0.46384,                 4.8615,                0.92719,             0.00027592,             0.00027592,             0.00027592
                     59,                0.77812,                 1.8399,                 1.1657,                0.74697,                0.91653,                 0.8955,                0.71623,                0.46384,                 4.8615,                0.92719,             0.00027438,             0.00027438,             0.00027438
                     60,                0.69876,                0.99902,                 1.0774,                0.79313,                0.91469,                  0.995,                0.80595,                 0.4774,                 2.9946,                0.93394,             0.00027262,             0.00027262,             0.00027262
                     61,                0.66258,                0.89513,                  1.077,                0.79313,                0.91469,                  0.995,                0.80595,                 0.4774,                 2.9946,                0.93394,             0.00027064,             0.00027064,             0.00027064
                     62,                0.70032,                0.99785,                 1.0737,                0.79313,                0.91469,                  0.995,                0.80595,                 0.4774,                 2.9946,                0.93394,             0.00026844,             0.00026844,             0.00026844
                     63,                0.50801,                0.71042,                 0.9216,                0.92018,                      1,                  0.995,                 0.8955,                0.48606,                 2.4417,                0.87929,             0.00026602,             0.00026602,             0.00026602
                     64,                0.32773,                0.71856,                0.94136,                0.92018,                      1,                  0.995,                 0.8955,                0.48606,                 2.4417,                0.87929,             0.00026338,             0.00026338,             0.00026338
                     65,                0.35336,                0.70033,                0.97549,                0.92018,                      1,                  0.995,                 0.8955,                0.48606,                 2.4417,                0.87929,             0.00026053,             0.00026053,             0.00026053
                     66,                0.30956,                0.57772,                0.86168,                0.92099,                      1,                  0.995,                0.90047,                0.43089,                 2.5086,                0.87936,             0.00025745,             0.00025745,             0.00025745
                     67,                 0.3303,                0.56696,                0.91223,                0.92099,                      1,                  0.995,                0.90047,                0.43089,                 2.5086,                0.87936,             0.00025415,             0.00025415,             0.00025415
                     68,                0.42448,                0.55295,                0.95773,                0.92099,                      1,                  0.995,                0.90047,                0.43089,                 2.5086,                0.87936,             0.00025063,             0.00025063,             0.00025063
                     69,                0.45388,                0.72286,                 1.0542,                0.92367,                      1,                  0.995,                0.92037,                0.47198,                 1.9753,                  0.915,             0.00024689,             0.00024689,             0.00024689
                     70,                0.34084,                 0.6122,                0.86043,                0.92367,                      1,                  0.995,                0.92037,                0.47198,                 1.9753,                  0.915,             0.00024293,             0.00024293,             0.00024293
                     71,                0.52202,                0.65246,                 0.9192,                0.92367,                      1,                  0.995,                0.92037,                0.47198,                 1.9753,                  0.915,             0.00023875,             0.00023875,             0.00023875
                     72,                0.66787,                 0.8529,                 1.1738,                0.94825,                      1,                  0.995,                0.92037,                0.44715,                 1.6135,                0.88645,             0.00023436,             0.00023436,             0.00023436
                     73,                0.47788,                0.90664,                 1.0999,                0.94825,                      1,                  0.995,                0.92037,                0.44715,                 1.6135,                0.88645,             0.00022974,             0.00022974,             0.00022974
                     74,                0.52735,                0.79856,                 1.0068,                0.94825,                      1,                  0.995,                0.92037,                0.44715,                 1.6135,                0.88645,              0.0002249,              0.0002249,              0.0002249
                     75,                0.61763,                 1.0643,                 1.1758,                 0.9476,                      1,                  0.995,                0.94026,                0.46353,                 1.0978,                0.88668,             0.00021984,             0.00021984,             0.00021984
                     76,                0.58714,                  0.807,                 1.0382,                 0.9476,                      1,                  0.995,                0.94026,                0.46353,                 1.0978,                0.88668,             0.00021456,             0.00021456,             0.00021456
                     77,                0.51056,                0.89804,                 1.0094,                 0.9476,                      1,                  0.995,                0.94026,                0.46353,                 1.0978,                0.88668,             0.00020906,             0.00020906,             0.00020906
                     78,                0.67993,                0.90561,                  1.327,                0.94218,                      1,                  0.995,                0.96016,                0.42401,                0.87885,                0.83363,             0.00020335,             0.00020335,             0.00020335
                     79,                0.62923,                0.86809,                 1.0819,                0.94218,                      1,                  0.995,                0.96016,                0.42401,                0.87885,                0.83363,             0.00019741,             0.00019741,             0.00019741
                     80,                0.43062,                0.75468,                0.95501,                0.94218,                      1,                  0.995,                0.96016,                0.42401,                0.87885,                0.83363,             0.00019125,             0.00019125,             0.00019125
                     81,                0.54715,                0.60503,                0.94511,                  0.902,                      1,                  0.995,                0.96016,                0.36434,                0.80319,                0.81071,             0.00018487,             0.00018487,             0.00018487
                     82,                0.39191,                0.54172,                0.93016,                  0.902,                      1,                  0.995,                0.96016,                0.36434,                0.80319,                0.81071,             0.00017827,             0.00017827,             0.00017827
                     83,                0.56839,                 1.0706,                  1.044,                  0.902,                      1,                  0.995,                0.96016,                0.36434,                0.80319,                0.81071,             0.00017145,             0.00017145,             0.00017145
                     84,                0.60069,                0.75622,                 1.0831,                0.89413,                      1,                  0.995,                 0.9751,                0.30135,                 0.9948,                0.77968,             0.00016442,             0.00016442,             0.00016442
                     85,                0.43335,                0.61829,                 1.0457,                0.89413,                      1,                  0.995,                 0.9751,                0.30135,                 0.9948,                0.77968,             0.00015716,             0.00015716,             0.00015716
                     86,                0.53353,                0.60323,                0.93893,                0.89413,                      1,                  0.995,                 0.9751,                0.30135,                 0.9948,                0.77968,             0.00014968,             0.00014968,             0.00014968
                     87,                 0.3401,                0.59926,                0.96912,                0.89413,                      1,                  0.995,                 0.9751,                0.30135,                 0.9948,                0.77968,             0.00014198,             0.00014198,             0.00014198
                     88,                0.51853,                0.80184,                 1.0752,                0.95344,                      1,                  0.995,                  0.995,                0.28174,                0.92008,                 0.7657,             0.00013406,             0.00013406,             0.00013406
